;
; catches-in-kilos from all cod fleets
;
;<year> <step> <area> <fleet> <biomass>
1998 3 1 catch.russia  80194008
1998 4 1 catch.russia  14130317
1998 1 2 catch.russia  12006492
1998 2 2 catch.russia  22024051
1998 3 2 catch.russia    136727
1998 4 2 catch.russia   1049864
1999 1 1 catch.russia  20908064
1999 2 1 catch.russia  26694675
1999 3 1 catch.russia  42755392
1999 4 1 catch.russia  21664575
1999 1 2 catch.russia  16135635
1999 2 2 catch.russia  19840694
1999 3 2 catch.russia    767546
1999 4 2 catch.russia   2777070
2000 1 1 catch.russia   9022942
2000 2 1 catch.russia  18870709
2000 3 1 catch.russia  21727180
2000 4 1 catch.russia   9701290
2000 1 2 catch.russia  23605200
2000 2 2 catch.russia  15197986
2000 3 2 catch.russia     94954
2000 4 2 catch.russia    532980
2001 1 1 catch.russia  17114289
2001 2 1 catch.russia  28063507
2001 3 1 catch.russia  21949387
2001 4 1 catch.russia   6932233
2001 1 2 catch.russia  18726172
2001 2 2 catch.russia   5968282
2001 3 2 catch.russia         0
2001 4 2 catch.russia     46202
2002 1 1 catch.russia  28728660
2002 2 1 catch.russia  22069770
2002 3 1 catch.russia  20291574
2002 4 1 catch.russia  13268608
2002 1 2 catch.russia  15188036
2002 2 2 catch.russia   2016360
2002 3 2 catch.russia      9334
2002 4 2 catch.russia    324351
2003 1 1 catch.russia  21829594
2003 2 1 catch.russia   7666529
2003 3 1 catch.russia  21062642
2003 4 1 catch.russia  16397625
2003 1 2 catch.russia  25440715
2003 2 2 catch.russia  13918255
2003 3 2 catch.russia         0
2003 4 2 catch.russia    317265
2004 1 1 catch.russia   5598066
2004 2 1 catch.russia   9508343
2004 3 1 catch.russia  27788682
2004 4 1 catch.russia  30316839
2004 1 2 catch.russia  31391237
2004 2 2 catch.russia   6507831
2004 3 2 catch.russia      8783
2004 4 2 catch.russia     10024
2005 1 1 catch.russia   7517926
2005 2 1 catch.russia  26778030
2005 3 1 catch.russia  24397469
2005 4 1 catch.russia  26622837
2005 1 2 catch.russia  27020695
2005 2 2 catch.russia   5309173
2005 3 2 catch.russia         0
2005 4 2 catch.russia    101731
2006 1 1 catch.russia   4577156
2006 2 1 catch.russia  20609430
2006 3 1 catch.russia  40354017
2006 4 1 catch.russia  12443881
2006 1 2 catch.russia  32404340
2006 2 2 catch.russia   8039573
2006 3 2 catch.russia         0
2006 4 2 catch.russia   1110825
2007 1 1 catch.russia   2624088
2007 2 1 catch.russia  20660889
2007 3 1 catch.russia  35560921
2007 4 1 catch.russia  13395213
2007 1 2 catch.russia  29444619
2007 2 2 catch.russia   9945323
2007 3 2 catch.russia     77611
2007 4 2 catch.russia     26311
2008 1 1 catch.russia   6275880
2008 2 1 catch.russia  31785851
2008 3 1 catch.russia  31172637
2008 4 1 catch.russia   8933975
2008 1 2 catch.russia  37153651
2008 2 2 catch.russia   6496558
2008 3 2 catch.russia      3874
2008 4 2 catch.russia      3780
2009 1 1 catch.russia   4868996
2009 2 1 catch.russia  36070565
2009 3 1 catch.russia  37125156
2009 4 1 catch.russia  15337740
2009 1 2 catch.russia  40539843
2009 2 2 catch.russia  12674177
2009 3 2 catch.russia     62151
2009 4 2 catch.russia     60343
2010 1 1 catch.russia  18296641
2010 2 1 catch.russia  42902579
2010 3 1 catch.russia  42188658
2010 4 1 catch.russia  18787967
2010 1 2 catch.russia  41741509
2010 2 2 catch.russia  16614852
2010 3 2 catch.russia     28911
2010 4 2 catch.russia    575900
2011 1 1 catch.russia  20910194
2011 2 1 catch.russia  47767611
2011 3 1 catch.russia  30787391
2011 4 1 catch.russia  28051861
2011 1 2 catch.russia  55198660
2011 2 2 catch.russia  23928189
2011 3 2 catch.russia    359806
2011 4 2 catch.russia    433447
2012 1 1 catch.russia  20050295
2012 2 1 catch.russia  29813894
2012 3 1 catch.russia  63067246
2012 4 1 catch.russia  30767510
2012 1 2 catch.russia  72027817
2012 2 2 catch.russia  22726537
2012 3 2 catch.russia    157229
2012 4 2 catch.russia    179225
2013 1 1 catch.russia  25224808
2013 2 1 catch.russia  29137900
2013 3 1 catch.russia  74754331
2013 4 1 catch.russia  44759075
2013 1 2 catch.russia  90901734
2013 2 2 catch.russia  25454821
2013 3 2 catch.russia     29641
2013 4 2 catch.russia   6156173
2014 1 1 catch.russia  21649893
2014 2 1 catch.russia  33771282
2014 3 1 catch.russia  65838674
2014 4 1 catch.russia  29524928
2014 1 2 catch.russia 114929354
2014 2 2 catch.russia  32527879
2014 3 2 catch.russia         0
2014 4 2 catch.russia    272858
1995 4 1 survey.acoustic  669334
1996 4 1 survey.acoustic  509356
1997 4 1 survey.acoustic  404498
1998 4 1 survey.acoustic  612146
1999 4 1 survey.acoustic  265375
2000 4 1 survey.acoustic  546638
2001 4 1 survey.acoustic  436892
2002 4 1 survey.acoustic  430692
2003 4 1 survey.acoustic  756702
2004 4 1 survey.acoustic  245525
2005 4 1 survey.acoustic  263460
2006 4 1 survey.acoustic  226441
2007 4 1 survey.acoustic  230299
2008 4 1 survey.acoustic  819822
2009 4 1 survey.acoustic  543814
2010 4 1 survey.acoustic  890197
2011 4 1 survey.acoustic  790052
2012 4 1 survey.acoustic  961865
2013 4 1 survey.acoustic 1511875
2014 4 1 survey.acoustic 1442885
2015 4 1 survey.acoustic 1374679
2016 4 1 survey.acoustic   60156
2017 4 1 survey.acoustic  651309
2018 4 1 survey.acoustic  816857
1995 4 1 survey.acoustic.linear  669334
1996 4 1 survey.acoustic.linear  509356
1997 4 1 survey.acoustic.linear  404498
1998 4 1 survey.acoustic.linear  612146
1999 4 1 survey.acoustic.linear  265375
2000 4 1 survey.acoustic.linear  546638
2001 4 1 survey.acoustic.linear  436892
2002 4 1 survey.acoustic.linear  430692
2003 4 1 survey.acoustic.linear  756702
2004 4 1 survey.acoustic.linear  245525
2005 4 1 survey.acoustic.linear  263460
2006 4 1 survey.acoustic.linear  226441
2007 4 1 survey.acoustic.linear  230299
2008 4 1 survey.acoustic.linear  819822
2009 4 1 survey.acoustic.linear  543814
2010 4 1 survey.acoustic.linear  890197
2011 4 1 survey.acoustic.linear  790052
2012 4 1 survey.acoustic.linear  961865
2013 4 1 survey.acoustic.linear 1511875
2014 4 1 survey.acoustic.linear 1442885
2015 4 1 survey.acoustic.linear 1374679
2016 4 1 survey.acoustic.linear   60156
2017 4 1 survey.acoustic.linear  651309
2018 4 1 survey.acoustic.linear  816857
1993 4 1 survey.trawl  751699
1994 4 1 survey.trawl  760159
1995 4 1 survey.trawl  683379
1996 4 1 survey.trawl  725332
1997 4 1 survey.trawl  567144
1998 4 1 survey.trawl  447362
1999 4 1 survey.trawl  324219
2000 4 1 survey.trawl  364687
2001 4 1 survey.trawl  433829
2002 4 1 survey.trawl  448509
2003 4 1 survey.trawl  546946
2004 4 1 survey.trawl  417244
2005 4 1 survey.trawl  357858
2006 4 1 survey.trawl  332178
2007 4 1 survey.trawl  447209
2008 4 1 survey.trawl  694498
2009 4 1 survey.trawl  740314
2010 4 1 survey.trawl  831137
2011 4 1 survey.trawl  890116
2012 4 1 survey.trawl  913046
2013 4 1 survey.trawl  958071
2014 4 1 survey.trawl  905700
2015 4 1 survey.trawl 1352552
2016 4 1 survey.trawl 1088209
2017 4 1 survey.trawl  555547
2018 4 1 survey.trawl  739446

